date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:43	6411/6411	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.imagesloaded.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.imagesloaded.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:45:44	35795/35795	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:42%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/bootstrap.min.3x.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/bootstrap.min.3xf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:45:45	8097/8097	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.easing.1.3.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.easing.1.3f4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:16	114620/114620	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:47%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.mobile.customized.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.mobile.customized.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:16	3127/3127	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:43%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cookies.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cookiesf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:17	8813/8813	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:47%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/modernizr.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/modernizrf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:18	17463/17463	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:44%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.optionSelect.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.optionSelectf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:18	1320/1320	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:43%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.customSelect.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.customSelectf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:20	24311/24311	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:47%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.owl.carousel.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.owl.carousel.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:20	86698/86698	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2008%20Feb%202018%2008:12:03%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/application.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/applicationf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:21	49284/49284	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.bxslider.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.bxsliderf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:21	11628/11628	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:49%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/skrollr.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/skrollr.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:22	3041/3041	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.fancybox-buttons.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.fancybox-buttonsf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:23	2570/2570	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:47%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.zoom.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.zoomf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:42	268380/268380	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery-1.9.1.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery-1.9.1.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:42	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Feb%202018%2012:16:36%20GMT	https://cs-utc-jewelry.myshopify.com/services/javascripts/currencies.js	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/services/javascripts/currencies.1e.delayed	(from https://cs-utc-jewelry.myshopify.com/)
17:46:42	2963/2963	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Feb%202018%2015:57:40%20GMT	https://cdn.shopify.com/s/javascripts/currencies.js	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/javascripts/currencies.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:43	8032/8032	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2004:13:46%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.currencies.min.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/jquery.currencies.minf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:43	24393/24393	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2008%20Feb%202018%2008:12:04%20GMT	http://cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.script.js?1309057467802046266	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/files/1/0908/7252/t/2/assets/cs.scriptf4b4.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:44	3984/3984	---M-Z	200	added ('OK')	application/x-javascript	etag:%2228690e5a01e05e03d5114ce75b269b26%22	http://connect.facebook.net/en_US/fbds.js	C:/My%20Web%20Sites/Jwellery2/connect.facebook.net/en_US/fbds.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:45	87467/87467	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Feb%202018%2020:51:40%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-64f171d6b3043cecbeb8d8cd85ba73eb7f126dc5635f9ed5fe32e57ae95317a7.js	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/assets/storefront/express_buttons-64f171d6b3043cecbeb8d8cd85ba73eb7f126dc5635f9ed5fe32e57ae95317a7.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:45	44277/44277	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2018:15:18%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://cs-utc-jewelry.myshopify.com/)
